,Question_Links,Views,Upvotes,Spaces,Questions,Answers
56,https://www.quora.com/How-much-mathematics-is-enough-to-start-learning-how-machine-learning-algorithms-work/answer/Kamal-Raj-17,38,–,www.quora.com,How-much-mathematics-is-enough-to-start-learning-how-machine-learning-algorithms-work,"ML algorithms are conceptually simple, and their underlying math and logic requires higher secondary level math training. Math in ML is not that difficult, and there is no fixed quantity of math that needs to be mastered. Lets take the basic ML algorithm, Linear Regression.
The model created by regression algorithm will be like below equation. Only 2 dimensions are considered. In ML, this dimension goes in range of 10s to even 100s. The idea will remain same. The equation itself can be shown using Python’s Sympy library.
Now for what value of ‘x’ the above model(equation) will have minimum output?
Sympy library can help to plot the graph for us visualise
We can see the there is local minimum values and a global minimum value. One of the algorithm to find these values is Gradient Descent. Linear regression uses gradient descent algorithm to find the value of X so that the loss is minimum. It is called “minimizing the loss”.
Example of visualisation in 3D space. The equation to generate this curve is simple.
Much of the ML and AI models do this “Loss Reduction” at various levels of complexity, in multiple dimensions.. GD algorithm is explained in school level Algebra. You can even implement that in python in simple way once you understand the steps required. This level of math is pre-requisite to those interested in Machine Learning.
Why am I telling this?
When you go into uncharted territory, you better know to use the tools at your disposal. Know them inside out. Math is Swiss Army knife in the forest of AI and ML. Knife is sharp and looks dangerous however we have to learn by using it.
First we cut soft fruits like mango and apple, then move to more hard fruits like water melon and even coconut.
Same way, we have to learn the Math through the visualisation, and theory to effectively master ML and its algorithm. Let the higher levels of Math be abstracted by the scientists, but at the usage level Math needs to be learnt.
Back to GD. Gradient descent algorithm finds the global minimum of the loss function. In order to use ML, we don’t need to know how GD algorithm is implement. The ML libraries abstract that and give us an interface or API to get solution. When the solution is calculated the math knowledge can support in checking if the solution makes sense.
If there is any doubt whether Math can be mastered, then start with simple problems and solve them. There is Project Euler, a platform where you can attempt simple to very complex math problems. There are many online competitive programming judges that provide you challenges and you can write program. The online testing platform will help to check your code."
61,https://www.quora.com/How-can-I-learn-problem-solving-techniques-for-programming/answer/Kamal-Raj-17,46,–,www.quora.com,How-can-I-learn-problem-solving-techniques-for-programming,"This secret is not even considered as a secret by best problem solvers in this world. To us, who are newly entering the world of problem solving, software engineering and coding this secret is vey very important.
The Secret
One has to read a lot of solutions to many different problems. (Read on, before you decide to use this strategy)
Lets take the world’s top coder, and how he would have started solving problems at very young age. Whatever his level of genius might be, he has to still look at the answer to know whether he solved the problem correctly. This means, the top coders started reading the solutions, AFTER SOLVING THE PROBLEMS themselves before long time. Here is a ROAD MAP one such Genius coder’s evolution.
Zero Problems Solved:
Our yet to be Genius coder lets call him Top Coder, is last in the line thinking about climbing the ladder of problem solving, competitive programming. The usual process is to take different courses like Data Structures, Programming Language and even problem solving before the first problem is solved. This is fine for learning the programming language at the surface level. Top coder aces it within 2 weeks, by practicing the simple problems provided by the introductory book on the programming language.
50 Problems Solved:
The process continues, top coder solves the problems. No choice. But as a noob, it is very important he practices with simplest problems, and gain confidence. Once he starts gaining confidence more challenging problems are taken up. This is where most of the would be TOP CODERS drop off. Our Top Coder is not one of these dropouts. He regularly bunks work or school to solve the problems. Even at school / work he is thinking about the problem. He has the list of problems he wants to solve with him always… That is his level of determination…
51st problem being attempted
The problem chosen can be very high in complexity or it might need new concept that a layman cannot find out through trial error. When this happens, our Top Coder as beginner looks at the solution and learns from it. He then searches for similar problems, and applies the learning with slight variations.
He learns to come up with good test cases and starts sharpening his solutions so all the test cases are passing. Modular programming becomes his mantra. The notepads are filled up, and new refill pens are purchased. The next couple of problems might be partially solved, and other problems can be a road block and doesn’t allow him to progress. He pushes on forward and onwards
75 Solutions read : 60 problems solved:
This is the situation where learning curve of Top Coder is becoming steeper. Brain which is untrained till date, gets chance to make some new connections. The problems solved increases at slower rate. Top coder has already finished 3 books on various problem solving techniques, and another 6 or 8 is left. The time he spends on solving the problems increases from 30 ~ 60 mins to 3 hours. The days start flying without any break or his knowledge.
150 solutions read : 100 problems solved: (Re Solve with different Programming Language)
That is a milestone in Top Coder journey of becoming The Problem Solver. He has solved 100 problems all by himself, and he has read additional 50 problem’s solution. Now he “Re - Solves” some random problems that he had read the solutions in the past, as well as those problems that he solved himself. The top coder does this by learning a different programming language and hones his skills. He gets 2 things done with one activity. Efficient
150 Problems solved : Algorithm design & Efficiencies:
Over 250 to 300 solutions has been read and understood. Many of the notes taken is safely tucked in his repo or some note keeping software. Notes are ready for him to search. Now the problems are complex enough that multiple problems needs to be solved in certain sequence to achieve the results. More like chaining. This is when the design of new algorithms comes in. Efficiency in programming is the time taken by the program to run. The pros call it Big O notation. Top Coder learns about it at this stage, and even find algorithms that have better efficiencies.
Intermediate and Beyond:
More than 450 problems, read, understood and solved. Our Top Coder is at the intermediate levels. More like getting “Blue Belt” in Karate terms. Black Belt needs more training, additional practice and lot more involvement in finding solutions. Here on there will be NO READING THE SOLUTION AT ANY COST. This constraint will push the limits of Top Coder’s capabilities. He understands himself, and starts solving problems in his own style.
500 to 600 Problems solved:
Let us imagine for a moment you are that Top Coder, and you are at this stage. How will you feel? What will be your confidence level. What kind of challenges you might take up next? This has to be the goal of the Top Problem solver. It is a journey that has end only when your consciousness stops to exist. Enjoy every step of the journey. See you on the other side."
62,https://www.quora.com/How-is-web-crawling-used-in-data-science-1/answer/Kamal-Raj-17,12,–,www.quora.com,How-is-web-crawling-used-in-data-science-1,"This is where it starts.
Data Science starts with Data, and that data comes from the web. On web there are many services,online platforms, social networks and companies that bring people together. These people generate data by interacting, and creating.
The Science and Target area
Data science is science of these interactions, and the modeling of them to predict the future. This is where web crawling comes into picture. There are established algorithms that can be used to crawl the web and get the links of interest. After that the page under the link needs to be soraped. We will simply try to get the links of our interests by first targetting a site or domain.
Scraping and parsing
To scrape, the most common libraries ar Selenium, Beautiful soup, Requests and PhantomJS. There are specific parsers neceseeary to get the data in the form the next libraries can use. Notable parsers are, libxml, htmlparsers.
Traversing the Tree
The webpage is a tree with data at the leaf. The page has many tags and these tags have attributes. Xpath is preferred framework to traverse this tree and get the data. The browsers offer this xpath traversing option in the settings. Selenium, and BS support Xpath.
Storing the data
Dataset and SQLite library are very useful when it comes to storing the data to sql databases. The data is stored datatbase files, so they can serialized and stored on harddisks.
Doing Science
We have the data. After that, we can use libraries like Pandas and Numpy to clean the data for modeling. The science and analysis starts earlier as explained above.
Each step has its own problems, libraries that solve it and unique skillset. Skill that is required at all steps is imagination , and problem solving. If these two are mastered, then programming languages and its libraries will take care of the rest"
64,https://www.quora.com/Can-I-become-an-AI-expert-with-online-learning/answer/Kamal-Raj-17,32,–,www.quora.com,Can-I-become-an-AI-expert-with-online-learning,"Yes, you can become an expert at AI if you “learn” the following, irrespective of Online or Offline.
As you see, there is no AI involved to become in expert in AI. AI is a discipline that has been rapidly spreading because it is easy to get hold of data and computing power. Lets take a problem.
The above image is simplest image recognition problem. You give this image to a AI model and ask whether the line is going up or going down? AI model can be trained in such a way to find the line is first going down, and then up.
Let me share the points used in plotting the above curve (0,5), (1,1), (0,2), (1, 3), (2, 4), (5, 5), (10,6)…
How will humans be able find whether the above points are going up / going down / going up and then down or the going down and then up?
Human has no figure, only the set of points. Think for a moment If you want computer to solve, then we should solve first, and the write a program to instruct computer on the solving process.
In order to become expert in AI and not just be one in a million, you need to really understand how the computer works with the data, mathematics, and problem solving. Unlike what many of the online classes are (Andrew Ng’s Youtube Videos and Joel Grus book are exeception) directly jumping into solving the problem using ML / AI models after courtesy introduction about the mathematics and computers. By following that, you can learn to use the data, feed the data to the sophisticated libraries and make final reports. You can still do Data science with Online Courses.
If you are thinking about becoming expert then you have to dive deeper into machinery involved in creating these libraries, and the underlying Math that makes the machinery run. There are resources, good problem solving training books, and very approachable books on mastering programming languages. The key is, the code in these books have to be understood, typed and then executed by yourself. You have to hack the code, and try breaking it to understand.
I started with the naive idea that learning Data Science is simple, and can be mastered with 3 months. Yes, I mastered the libraries. Joined online competition to solve the challenges in Data Science. Then it dawned on me, that it is about programming, mathematics and proficiency in problem solving. Every step of data science, you solve problems. Whether it is visualisation, model generation, model deployment or reporting. (I did not touch about model explainability, that is another interesting area)
Solid Time commitment is required for master the Data Science Machinery and underlying Math. Time allocated for reading problems, solving problems and then writing code has to be the highest. You can learn new concepts and immediately take some real problems and solve it. If not create a fictional one with data and solve it.
Have a great climb to expert level in AI. It is a worthy pursuit. All the very best."
65,https://www.quora.com/How-do-you-control-your-hornyness-when-it-is-not-the-time-to-be-horny/answer/Kamal-Raj-17,12,–,www.quora.com,How-do-you-control-your-hornyness-when-it-is-not-the-time-to-be-horny,"Disclaimer: Use this advice on your own judgement. Depending on your age, and level of maturity the content will either enlighten you, or make you confused.
It is not strange that there is no answer for this question.
The solution to your issue is simple. Masturbate. It is acceptable to Masturbate (With love and care and ensure no damage occurs)
When you are horny, either Testosterone or Estrogen, depending on your gender, are at high levels. These harmones reek havoc in your brain to such extent that, logical thinking collapses on its own weight. The imagery of having intercourse spontaneously gets created. The body starts feeling entirely strange. Voices of your loved ones, and their images flicker past your mind’s eye… Yep, all are the makings of these harmones….
The moment you release the “Rogue Harmones” from the body then the horny-ness vanishes. There goes the science of it. Now for some important things, which are non-sciency.
Depending on your age, the food you had, the people you have spoke with, things you have read and seen, everything affects the harmones that cause you to be horny. So try to learn about your body. Try to enjoy the act. Ensure you are not creating any skin damage in the process.
There are many religious and cultural taboos against Masturbation because, if you flog then you will not want to marry and have kids. If there are no kids then the religion or the culture will die. Be cautious about your belief systems. They are usually illogical.
Will my energy reduce?
There is no link between masturbation and how energetic you are. There are many movies, and books written about celebate priests or monks who abstain from the very act of human nature. None of these high priests or so called heroes discuss about their manly activity in the stories.
Will you become a Homo or Lesbian?
You can become a pro-wrestler or Pro-Pickup artist. It is in your hand. The human body and brains are wired in complicated ways, and this wiring can change as you age. You will still like to be with your opposite sex, have the urge to win, take responsibility and have a great life. More over, your partner will have confidence that, you are “Clean” when he are she comes close to you.
The advantages are really overwhelming. And there is no downside, except that your DNA is being wasted. For females the nature itself removes their egg every 28 days. For men as we are opposite to females, the release is in your own “Hands”. Have a great life ahead."
67,https://www.quora.com/Do-I-need-to-know-maths-to-have-a-skill-in-machine-learning/answer/Kamal-Raj-17,32,1,www.quora.com,Do-I-need-to-know-maths-to-have-a-skill-in-machine-learning,"Math is the language of this universe and the computer processors. If you want the Machine to learn, then only way is through math. There are many libraries that are developed to abstract away the math and let the user focus purely on getting insights, and gleaning wisdom from the data. All these libraries(Bento ML, Pycaret, SciKit Learn, Numpy, Pandas, StatsModel….) will give you garbage out, if you enter garbage in….
Yep. There is no short cut. Learning Math, and Logic is mandatory. However, math or Logic is not difficult if you learn from correct book or teacher with mindset to learn. Lets assume you did not listen to this advice and opened a apparel shop.
IN-SHOP APPAREL RECOMMENDER SYSTEM:
Your shop is prime location, and has good deal of customers around your locality. The customers are in few hundreds, lets assume. You want the shop to be futuristic, and have only limited man power(You believe humans have to design the apparels, and not stand in store waiting for customers). Based on customer past purchases you can do 3 things.
THE PROBLEM
How to build such a recommendation system with your shop’s customer data?
You decide to purchase a recommender system. The recommender system that you purchased has just the basic functionality. There is a python library called Surprise, that can be used after learning from data and recommend. The recommender system just takes the data into the Library, then it gets ready to recommend apparels to your customer. You are surprised!!!
In your store, you have a camera which is used to identify the customer who has entered the store (Deep learning Computer vision model) and then automatically triggers the recommender program. On the wall there is a display which shows and vocalizes
“”” Welcome Back <Customer Name> ^_^”””
and then proceeds to recommend some of the apparels the customer might like, on the store display. Customer is surprised to be welcomed by SHOP and even to be suggested apparels!!!. Customer starts walking around the shop, and browses the materials. Lets assume for fun, the customer is a pregnant women and she is looking for some loose fitting cloth. Her age is 28. Now the joke starts…
The Shop display starts showing some tight jeans, and skinny T shirts that are trendy among the 28 year young females. The recommender system that is developed without the knowledge of Maths / Coding, and how to incorporate new information into the data, cannot consider the fact that the customer is “PREGNANT”. Recommender system cannot logically find that pregnant women cannot use tight jeans. Recommendation fails!!! Customer leaves your SHOP, ANGRY and Nostalgic about her care free days… Not a pretty outcome.
“””This case of wrong recommendations continues with new variants for another 10 customers”””
By that time, you realize the recommender system is junk because is not getting the data to recommend accurately. So, you decide learn about the data inside it and how it works. The code for the recommender system is directly downloaded from the product website. So you visit the website. There you find their code repository open for the users to review, modify and learn…. (This is the future, so get ready)
The LOGIC Correction
The code is written in languages that are popular for such systems, Python, R and frontend is written in Javascript and HTML Libraries. When you read the code, you realize the level of math that is being used is rather basic. There are clear comments about why some function is being called, and what is the logic behind the function. Bit more complicated functions are directly imported from the libraries elsewhere in the internet. The more you read the code, you start getting idea how to improve your recommender system. (Here you realize the impact of math and logic)
Your WITTY RECOMMENDER
After some 10 hours of working, you have coded some additional logic into the recommender system and sent it to the code reviewer to check it. The reviewer finds some issues and suggests to edit the logic. Another 5 hours or so this goes back and forth and finally your recommender system is ready. When you deploy the system, based on your shop’s customer the recommender works and the customers are kept engaged, and delighted. You even made your recommender witty, by making it to tell jokes about the recommender systems that suggest tight jeans for pregnant ladies….
So math is very important, and understanding libraries at a deeper logic level will give you more power, and creativity. There are couple of books that introduces doing math with programming language. Search “Doing Math with Python / R/ Javascript” in Google, you will find countless books. Learn the concepts, and understand how to program math to computers. The code in the books that you choose, needs to be typed by yourself and executed to understand. Then you can fluently learn about the libraries that do the real Machine learning.
Have a great time learning. Reachout to google, stackexchange or here for clarifying and researching your doubts."
69,https://www.quora.com/How-do-you-apply-neural-networks-to-your-social-relationship/answer/Kamal-Raj-17,24,–,www.quora.com,How-do-you-apply-neural-networks-to-your-social-relationship,"Neural networks can be applied for classifying your social network and understand some unique behaviours in them. NN does the modelling of your networks differently.
Neural nets can help you to analyse the data in many dimension, even the dimension your “gut feeling” will consider and your brain cannot. Our brain is strictly rooted in the present 3D world. It is difficult for it to visualise higher dimensions and try categorising things as per these dimensions. Try thinking of a problem that is time and space dependent, it becomes very difficult visualise without practice.
For example, If I ask you, why you like people with green eyes, or face with a particular shape or voice of particular pitch for that matter(Remember that irritating voice that makes you angry or restless). Your brain cannot answer, since there is no numerical rating for these characteristics. Brain cannot create a model. But neural nets can take these into account and model your social networks. I am only scratching the surface of what can be done.
There are other simple math relations you can find using Network Analysis. Here neural nets are not involved.
I had the same question that you asked before 12 months, and I started learning neural nets very deeply. Recent advances in Neural nets are very fascinating. If you don't understand, then it will feel like magic. There are huge libraries of programs that support modelling the social networks and other kind of networks. Please research and learn about it."
71,https://www.quora.com/Can-video-analytics-and-machine-learning-solutions-help-achieve-zero-defects-in-manufacturing-Why/answer/Kamal-Raj-17,59,1,www.quora.com,Can-video-analytics-and-machine-learning-solutions-help-achieve-zero-defects-in-manufacturing-Why,"There are algorithms used with Open CV library to analyse the videos, after converting the frames as pictures. There is really no need for Machine learning. You can program the camera module for example, a surface scratch defect. The module will work flawlessly, and detect only some kind of scratches.
If some new defect arises, then the whole process needs to done and camera module reprogrammed. This can be avoided.
Where Machine learning can excel is in applications where we humans know some thing is defective, but programming it is cumbersome and repetitive. Machine Learning, literally automates such repetetive programming. The variant is neural network called Convulutional NN that excel at learnin such defects and successfully classify the new defects.
There are many deep NN that can differentiate, dogs from cats and even differentiate dog breeds. So the defects are like that only. The more training samples you have better the training and validation accuracy will be. The ML solutions can speed up the basic classification, and instead of using more manpower, one operator can do the final checkin of the defect.
I have not even scratched the surface of ML. It is just a no theory intro of ML.
Explore more and you will find a lot of research is going on in this area. Have a great time."
72,https://www.quora.com/Can-I-change-my-profile-into-data-science-after-having-spent-13-years-in-software-testing/answer/Kamal-Raj-17,60,2,www.quora.com,Can-I-change-my-profile-into-data-science-after-having-spent-13-years-in-software-testing,"Data Science can be done by anyone, because it simply a type of programming to solve problems using data. When you are from testing background you will catch many of the libraries and algorithms very easily. So, Go ahead learn DS. But learn on your own, with intention to skill up. Not to change career.
Why not change carrier? Let me convince you that, your own domain has more opportunity, if you look.
You can learn DS and then look at your domain problems. The more you look in any domain there are areas where data is generated. Say, you want to know how many tests you are currently running. That depends on the number of projects, resources under you, and their profeciency. You must have a dashboard showing that.
There are just three dimensions. What can you do to increase the speed of your tests? Hmm, that needs analysis. You might find that relationship between profeciency and speed is less, but with increased number of resources the speed is more. How you prove this? Data Science.
There could be countless locations where inefficiencies will be there in your organisation. You can collect data, analyse and show these areas. Once you do that, you will realise that you are able to lead better, convince people easily and get things done fast. No wonder you will start liking what you are doing. This happens not just at work, but at home too.
Learn data science and use the skill to contribute. If good opportunity comes use it. Shifting job alone cannot be a good motivator. Have a wonderful career."
73,https://www.quora.com/Im-a-B-Tech-mechanical-65-8-in-2018-I-want-to-go-in-the-software-industry-Should-I-go-for-CDAC-or-learn-software-skills-self-and-apply-for-an-internship/answer/Kamal-Raj-17,61,–,www.quora.com,Im-a-B-Tech-mechanical-65-8-in-2018-I-want-to-go-in-the-software-industry-Should-I-go-for-CDAC-or-learn-software-skills-self-and-apply-for-an-internship,"65.8% is a good score, it shows that you can sit and learn by yourself without.
Here is what you can do…. You have to complete 4 books and master the way of programming, documenting, testing and deploying. Once you complete and get confident, please share it with your friends or family members so they too can learn programming. Programming is an important skill in this complicated world. Lets dive in…
>> You will have to learn about to Jupyter notebooks, Regular Expressions and get introduced to SQL, HTML etc in coming steps. So the learning curve will be steep. Like KTM Duke / Yamaha RX 100 accelerating…
>> Test driven development is same as In-process quality testing in Mechanical Industry. (I am from manufacturing and mechanical background) If you remember the assembly lines where operators can stop the lines if there is defect. Software industry uses that idea efficiently and built lot of libraries around it. You will catch it very easily.
4. Lets level up a bit. Search for books that provide programming challenges that are more about problem solving through coding. Here too select a book which introduces you to problems that are easy to start, and slowly builds up challenge.
5. Solve the problem, Code the challenges, and then upload the code file to GitHub.
The above steps can take anywhere between 30 days to 90 days depending on your speed of understanding, problem solving and typing speed. I am considering that you are interested in sitting with the laptop all day long (14 to 16 hours). If you are working, then give additional 3 months time to master these steps.
These steps helps you to
Once you equip with these skills, you will understand many things that happen in the Software Industry. Also, you can confidently choose any software project you want, and approach it with confidence, and clarity that you will complete it.
Yeah, getting the job interview might be still tough, but after learning the above skills, you might even decide to go freelancing, or approach the job hunting differently. All the very best."
74,https://www.quora.com/How-do-I-overcome-the-language-barrier-in-a-job/answer/Kamal-Raj-17,8,–,www.quora.com,How-do-I-overcome-the-language-barrier-in-a-job,"(I am assuming that you know the language your colleagues use. Even if you don't know, the below answer greatly reduces the barrier)
Listen.
Listen without thinking to answer.
Listen with intention to clarify.
Listen with your eyes.
Finally ask for clarifying question before you answer.
When possible be kind to the other person and ask them whether they have any questions after you finish answering.
(Language barriers are reduced not by learning new languages to speak, but to listen to new friends, colleagues)
If you love talking, then best is learn programming languages and speak logically with computers and create software.
Not only your life but the entire world will be a better place."
77,https://www.quora.com/Why-is-machine-learning-useful-for-making-predictions-but-not-for-finding-causal-relationships/answer/Kamal-Raj-17,32,1,www.quora.com,Why-is-machine-learning-useful-for-making-predictions-but-not-for-finding-causal-relationships,"ML doesn't have all the data necessary to prove a causal relationship. ML can work only on data that is fed. It cannot create new data or experiment. Some flavours of Reinforced learning can do experiments and learn, it is still not methodical experimentation. Allow me to elaborate.
Causal relationships are like laws of this universe. Starting from newtons laws of motion, Laws of thermodynamics, Energy conservation laws.
We have an age old wisdom that is,
Correlation does not imply Causation.
To imply Causation, lot of parallel study in unrelated feilds will be required. The physical experiments, the theory behind the causation needs to be verified mathematically. Many such discoveries yeild noble prize. We should also remember the creativity and meticulous work of scientists in finding such causation. Even then, many findings in the past were just correlation.
Machine Learning is purely mathematical. The universe it works is very different from our reality. The number of dimensions in some ML problems can go in hundreds of dimensions. But they are conceptual dimensions. Not something you can physically see or feel.
With help of libraries written in programming languages that can handle huge data, the theory behind the Machine learning is abstracted. Thanks to object oriented programming, it is much easier to abstract the machinery. If not today ML will be in obscurity.
With machine learning a new law or causation cannot be discovered, but only learned. The causation will be learnt using equations, variables and their outputs. They cannot be proved using more mathematics. But the outputs will have sufficient accuracy so we can make decision or influence someone."
79,https://www.quora.com/Which-skill-do-I-have-to-learn-first-and-why-artificial-intelligence-or-data-science-I-dont-have-any-other-knowledge-about-them-even-I-am-also-week-in-programming/answer/Kamal-Raj-17,21,–,www.quora.com,Which-skill-do-I-have-to-learn-first-and-why-artificial-intelligence-or-data-science-I-dont-have-any-other-knowledge-about-them-even-I-am-also-week-in-programming,"AI and Data Science is one of the ways of solving problems in this world. Before there was Statistics. Statistics is very misleading when the data is not sufficient. You have countless books explaining how statistics can be misleading. AI and DS leverages on Statistics, and solves problems and does it so well. But do we need it??? You will find out, keep reading
If you need one skill to then it is Problem Solving. There are many aspects to problem solving.
AI and DS started flourishing because the data availability sky rocketed along with the Computational power. Consider the datapoint.
How can these 5 points determine whether the company will default on the loan? In past, there will be no way to find out, apart from lot of calculation, years of experience and finally taking risk and extending credit. Finally see if the company repays it. That was a problem to banks. Today, the problem is solved (atleast 97%), to an extent that it is possible to predict the default ahead of time.
The Key is PREDICT. AI and DS are used extensively to predict the outcomes. They are used to locate the correlations, that our naked eyes or paper pencil calculations cannot show. All you need is the creativity and intuition to predict what might happen next.
Programming, Math are just tools. If you can predict or if your intuition says something will happen, then you use programming to collect the data and math to work on the data to PROVE you are correct. This is a very powerful ability. Leaders and effective managers use data so skillfully to influence the world around them.
Visualise yourself sitting in a meeting with a potential partner, and he is sharing you the benefits of a investment Scheme. As he continues to explain, your intuition says is there some flaw in the investment opportunity. You are unable to find it out. What you do next? Go to Google and ask for reviews from other users, or directly ask for the pro and cons of the investment scheme. Here you are trying to predict what will happen if you choose the scheme. You solved the problem, correct?
If you want others also to solve the problem, or if you want to solve the same problem with different values, conditions, and time lines then you can automate the process by programming it. The steps you take manually can be programmed simply using any programming language, say python and execute the below PSEUDOCODE.
Each step above needs many steps, and many problems to solve. You have to imagine what you need as end result and walk back towards the current situation. Many things like programming, libraries, databases knowledge might be required, or you can hire someone to do it for you. Again, you can solve the problem that you have.
It is acceptable to be unaware of something and be weak in it. It is unacceptable to be weak after you know how to master a skill. All it takes to learn problem solving and programming is the passion to solve problems and create change in your own life and that of others.
There are so many free resources that is offered by many online Problem solving websites, that you can learn from. Many programming languages can be compiled on the websites. The data is available freely if you search in in Google. Change your mindset and start solving problems. Solve easy ones and gain confidence, then move to difficult ones. There are books which curate problems from easy to difficult levels. Search for them, and you will get it.
Have a great life and wonderful time learning to solve problems."
81,https://www.quora.com/Im-15-year-old-and-I-want-to-learn-computer-science-How-should-I-begin/answer/Kamal-Raj-17,151,1,www.quora.com,Im-15-year-old-and-I-want-to-learn-computer-science-How-should-I-begin,"Two points will be more important whether you pursue CS or any other engineering course.
Everything is about Logic. So solve lot of problems in your free time. Take a book that curates easy to difficult programs and start solving them. Most of the books will refer online judges. You can use the judge to chk your solution.
Learn one Programming Language, depending on the stream you choose.
For CS , IT guys Python/ Javascript. Electrical and Electronics start with Matlab and then Master assembly language. Mechanical and Civil it is Engineering drawing(language here is the geometries)"
82,https://www.quora.com/What-brands-and-companies-fail-because-they-dont-improve/answer/Kamal-Raj-17,37,–,www.quora.com,What-brands-and-companies-fail-because-they-dont-improve,"Companies fail because they are not managed well and the cash flow is not sufficient to stay afloat. Companies can sustain on their sales, and remain sthgnant without any improvement. Take some of our Kirana stores. They don't change muck. They are still around because they manage well"
84,https://www.quora.com/Im-confused-between-machine-learning-and-penetration-testing-even-though-I-love-both-careers-quite-much-but-I-cant-learn-more-than-one-skill-What-should-I-do-1/answer/Kamal-Raj-17,138,–,www.quora.com,Im-confused-between-machine-learning-and-penetration-testing-even-though-I-love-both-careers-quite-much-but-I-cant-learn-more-than-one-skill-What-should-I-do-1,"Pentest and ML both are about creativity and needs sound knowledge in programming. Instead of choosing the field choose the tool that is common in both the feilds, that is programming.
When you can code fluently, meaning you can get the output that you want from the computer fluently for number of problems, you can learn ML or Pentest easily.
Have a great career."
85,https://www.quora.com/What-should-I-major-in-to-launch-my-own-Machine-Consciousness-company-building-artificial-general-intelligence/answer/Kamal-Raj-17,55,–,www.quora.com,What-should-I-major-in-to-launch-my-own-Machine-Consciousness-company-building-artificial-general-intelligence,"Oh, you can come work for me, I already have the idea to create the AGI. Just kidding..OpenAI. Deepmind H2OAi are some companies already working on this route.
You need to major is physics, computer science and mathematics, specifically geared towards making emergent systems. That is just the start. Or you have to hire such people and pay them to work on creating the AGI. That is what Musk is doing, in Neuralink and OpenAi.
If you get to AGI,then you may have to let the AGI run your company… Hmm, interesting situation, rite? Think about it. Musk is alread fighting that such level of AI should not be created. Musk is a physics major too.
An AGI has to be connected with multiple AGI in order to show emergent behaviour. Then only AGI can become conscious. Because physicists have proved consciousness is a cause of an emergent system, our brain.
There are many books written on this topic. search for it in google. Then choose your career wisely."
86,https://www.quora.com/Why-do-you-believe-this-world-is-a-simulated-reality/answer/Kamal-Raj-17,127,–,www.quora.com,Why-do-you-believe-this-world-is-a-simulated-reality,"Nope, there will be lot more glitches in the simulated world for the level of complexity we are creating. Think this way. when a simulated world grows to level were that world can create its own simulation, then Recursion happens. Godel has written a lot on this idea. Take a look at his writings. Trippy, yet very gripping
With the advent of quantum computing, finding the matters that are why smaller that, a huge collider is required, the march towards metaverse, all these tech can help in creating a man made simulation. Which means, simulation inside the simulation. Recurrsion.
You must be aware of recurssion in programming, that is a function calling itself is a recursive function. If the argument given that function is very large then the system will run out of memory. If ours is a simulated world and we create a full fledged simulation, then there is possibility that our simulated beings to can create simulation. (Godel can be of help here, the math is complex). Then the main system running the program will run out of memory. And the designer of the system is lousy.
Lets assume a situation where an AI has already made paper clips out of the entire universe and a made a powerful computer to run simulations to gather data on something much bigger than this universe that this AI wants to control. Will the AI allow such recurrsion in its system, even accidentally. Will AI be a lousy programmer. Very less probability, that the null hypothesis can be safely rejected
So be assured, the world we live is not simulated. My views might change as the metaverse that many are touting really becomes simulated universe with creatures that can replicate itself by using the system resources differently, and there is a lot of “Deja vu” happening for lot more people then we might have to seriourly consider the possibility that we are just simulated beings.
What if you find out that you are a simulated being, what will you do next? Food for thought…"
87,https://www.quora.com/How-do-I-install-Pandas-on-Windows-11/answer/Kamal-Raj-17,22,1,www.quora.com,How-do-I-install-Pandas-on-Windows-11,There is only one way. Install Python distribution that supports Win 11 and then install pandas thru Pip. This is the simplest way too.
89,https://www.quora.com/Is-it-normal-for-beginners-to-get-stuck-on-a-problem-in-coding-for-more-than-2hrs-Would-you-recommend-still-trying-the-logic-or-just-look-at-logic/answer/Kamal-Raj-17,31,–,www.quora.com,Is-it-normal-for-beginners-to-get-stuck-on-a-problem-in-coding-for-more-than-2hrs-Would-you-recommend-still-trying-the-logic-or-just-look-at-logic,"I had the same dialemma and my strategy is to look at the logic after finding atleast 5 solutions, that I think might work but may not be correct.
When I say solutions, I need to come up with solution, code them and then find my answer is wrong. Like this 5 times if it happens, then I look at the logic. What I gain in that five times is more important.
After 5 different trials, if no correct solution then,
Here are some actions that can be taken to mitigate above challenges.
Misunderstanding the problem statement is very common. Nowadays, the online judges are having good descriptive questions, and sample cases for you to understand. So try honing your information gathering skill.
Not knowing the capabilities of the programming language, can arise due to forgetting the feature, or completely unaware of a feature. For example, in python there is a standard dict type that is part of python and default dict type that you can import from collections library.
This knowledge about defaultdict can greatly change the way you solve a problem. Start documenting the important functions, and programs and refer them regularly. Build your own Cheatsheet
Finally, solving a problems is series of decisions. When you chose a variable to be a integers, and list of integers can completely change how you access them. If your problem is designed for a list type and looping method, then doing it any other way might be tedious. Here again comes, documenting again but more detailed one.
You need full working programs to be documented. So learn Git, Github and store your programs there. Wherever you are, you must be able to get hold of the program that you want.
Most important use online judges and problems given there to train. There is still a challenge of which problems to start with. One of the judges I know have their own guide and hours of training session for free. That too online. All you need is spend time and learn.
Have a great time and all the very best."
